StarID,ProperName,X,Y,Z
0,Sol,0,0,0
1,,282.43485,0.00449,5.36884
2,,43.04329,0.00285,-15.24144
3,,277.11358,0.02422,223.27753
4,,79.62896,0.01164,-101.53103
5,,264.58918,0.04601,-226.71007
6,,53.06535,0.0168,3.66089
7,,52.95794,0.02084,19.31343
8,,174.01562,0.08288,84.44669
9,,166.9363,0.10297,123.9143
10,,58.65441,0.03711,-72.08957
11,,159.15237,0.1036,170.31215
12,,199.36567,0.14237,-144.63632
13,,264.5403,0.19243,-110.08871
14,,195.69077,0.16486,-1.23101
15,,258.01976,0.22655,316.26412
16,,124.20847,0.11077,-104.93583
17,,1084.53445,0.97309,-1543.94618
18,,50.05006,0.04641,-3.54701
19,,190.46888,0.17724,150.44538
20,,85.20962,0.09361,37.10201
21,,169.56332,0.19602,23.85242
22,,145.72842,0.17838,-169.738
23,,79.69934,0.10353,18.85807
24,,94.28446,0.12514,-40.90366
25,,52.09682,0.07216,-50.82198
26,,105.85439,0.15582,-25.20501
27,,77.77346,0.11601,-68.31981
28,,128.90634,0.19629,-121.7381
29,,229.69649,0.36935,-265.24363
30,,195.64354,0.32826,177.03531
31,,542.88504,0.92945,25.36898
32,,198.86852,0.34217,253.98713
33,,109.99693,0.1904,-20.31221
34,,70.15358,0.12179,35.61908
35,,162.44759,0.29078,-41.98307
36,,155.10574,0.27957,33.72526
37,,181.73838,0.33416,-196.1197
38,,7.95927,0.01542,-41.18425
39,,87.23461,0.17031,-26.16659
40,,170.61645,0.3471,237.45798
41,,3872445.30006,8243.56549,9219766.77804
42,,141.06209,0.3087,68.32831
43,,66.40084,0.1496,112.99578
44,,414.24595,0.95957,-23.93148
45,,20.24168,0.04741,-63.05588
46,,757.69929,1.77926,-363.39157
47,,22.3741,0.05279,-34.23726
48,,407.65642,0.9621,-350.52257
49,,602.49989,1.46693,180.40426
50,,35.55067,0.08864,-47.34518
51,,2438.59447,6.10292,45.38433
52,,56.86273,0.14555,-246.69596
53,,8723789.70717,22441.50475,-4888250.14947
54,,45.36101,0.12006,14.71157
55,,26.99964,0.07437,-62.64186
56,,288.18109,0.81899,1.12132
57,,10.24875,0.0301,-27.67017
58,,17.91077,0.05431,33.93651
59,,5631995.26278,17147.68967,8263191.59385
60,,69.74876,0.21355,-146.00782
61,,105.40899,0.32408,144.14088
62,,132.92937,0.41752,-134.90615
63,,146.35548,0.46425,147.6562
64,,256.14475,0.82521,-135.66556
65,,33.92205,0.11129,-48.14193
66,,37.13055,0.12218,-116.47411
67,,122.56525,0.42591,53.39053
68,,30.07406,0.10531,9.18828
69,,135.83379,0.4774,79.68061
70,,152.56382,0.54,114.0402
71,,87.72547,0.31709,65.58008
72,,91.72447,0.35134,-20.88771
73,,99.0351,0.38105,231.60322
74,,33.50702,0.12975,24.1242
75,,397.9963,1.55016,-481.89369
76,,366.9507,1.46163,236.71826
77,,245.17219,0.98642,-141.91775
78,,813.46917,3.29833,262.24143
79,,178.54741,0.73457,126.49808
80,,62.7822,0.26494,-13.14292
81,,42.5219,0.18098,-3.66945
82,,539.46766,2.33535,-104.23574
83,,269.53819,1.16706,345.99809
84,,46.76553,0.20552,24.74704
85,,232.92221,1.04074,-107.20252
86,,100.43551,0.45643,270.11621
87,,220.09036,1.00456,-22.49194
88,,110.31033,0.51821,-126.05163
89,,230.56864,1.11531,307.84062
90,,79.62023,0.3891,-71.40847
91,,236.27953,1.15703,-24.31043
92,,196.10011,0.99469,-74.12286
93,,59.73632,0.30467,-0.07915
94,,80.24461,0.41295,-51.62923
95,,124.61967,0.65694,-26.40726
96,,48.93537,0.2604,12.17822
97,,93.16027,0.49946,-122.72957
98,,168.66243,0.90471,-66.11277
99,,389.45871,2.14808,684.33802
100,,209.62424,1.15779,75.22807
101,,91.39998,0.51009,-100.77989
102,,249.69673,1.39646,-220.81824
103,,40.28292,0.22649,-101.59456
104,,104.03938,0.5933,-64.7589
105,,73.58894,0.42107,212.86355
106,,142.89402,0.82342,170.18617
107,,109.29017,0.63672,-131.81786
108,,1133.19441,6.65641,-3134.7946
109,,186.29735,1.12699,22.18696
110,,37.72667,0.22961,31.22279
111,,30.4781,0.18569,20.777
112,,30.51202,0.19007,-9.29827
113,,2429.29085,15.5022,2795.66212
114,,86.55733,0.5615,51.4684
115,,96.23159,0.6258,-188.24457
116,,100.24577,0.6568,-67.09165
117,,830.37745,5.51326,-2650.75315
118,,81.66092,0.55084,-13.56317
119,,94.93783,0.64656,93.87049
120,,248.34745,1.71643,-251.35967
121,,240.28144,1.66273,130.05168
122,,15.15471,0.10563,-65.98685
123,,60.17346,0.42035,187.8352
124,,559.75916,3.94939,1019.18412
125,,152.2471,1.07547,-124.77876
126,,329.096,2.34772,85.92345
127,,58.2871,0.41922,-66.90032
128,,18.56152,0.13404,63.11661
129,,150.84551,1.09419,14.18709
130,,293.4799,2.1424,-174.20834
131,,57.85193,0.42402,108.88979
132,,435.2293,3.20568,-300.85302
133,,217.76443,1.60912,-183.69604
134,,769.05734,5.70658,-15.30381
135,,49.7495,0.37054,-0.18885
136,,156.11536,1.16795,70.33723
